Observer,Date,Time,Sex,Age,Activity,PM,Tail Use,Prop-TW,Tail Angle,Substrate Characterstic,Substrate Size,Crown,Diet,Notes,
Natasha Mazumdar,8/30/2013,5:42,M,PA,Fr,HT,TMB,20,OU,2,S/M,M3,FR,,
,,2:55,M,A,Fr,HTS,TMB,10,OU,2,S,U3,FR,,
,,3:14,M,A,F,HTS,TMB,10,H,2,S,U2,FR,guava,
,,6:11,F,PA,FR,HTS,TMB,U,OU,2,L,M2,,,
,,6:15,F,PA,FR,HTS,TMB,20,OU,2,S,M3,,,
,,11:49,M,PA,FR,HTS,TMB,20,H,3,S,L3,,,
,,12:11,M,PA,FR,HTS,TMB,10,H,3,S,L3,,tail bearing significant more mass,
,,5:57,F,J2,Fr,HTS,TMB,10,H,C,S,U2,FR,,
,,6:01,F,J1,Fr,HTS,TMB,20,H,2,S,M2,FR,berries,
,,6:10,F,J1,F,HTS,TMB,30,OU,5,S,M3,FR,,
,,6:43,F,A,Fr,HTS,TW,40,OU,1,L,T,FR,berries,
,,7:31,F,A,F,HTS,TMB,50,OU,4,S/L,T/L2,I,,
,,7:11,M,J2,Fr,HTS,TMB,70,OU,2,S/L,T/L1,,,
,,6:40,F,PA,F,HTS,TMB,10,H,2,S,M3,I,,
